cidade;estado;populacao;idh;num familias bolsa famila
machacalis;minas gerais;7069;0.64;939
machadinho;rio grande do sul;5623;0.692;169
machadinho d'oeste;rondonia;33159;0.596;2147
machado;minas gerais;39509;0.715;1253
machados;pernambuco;11802;0.578;2138
macieira;santa catarina;1787;0.662;20
macuco;rio de janeiro;5626;0.703;408
macurure;bahia;7834;0.604;1618
madalena;ceara;17773;0.61;2943
madeiro;piaui;8012;0.563;1378
madre de deus;bahia;16783;0.708;2236
madre de deus de minas;minas gerais;5173;0.699;187
mae d'agua;paraiba;4127;0.542;723
mae do rio;para;29087;0.599;6302
maetinga;bahia;7884;0.538;1386
mafra;santa catarina;52933;0.777;1063
magalhaes barata;para;7895;0.597;1159
magalhaes de almeida;maranhao;14808;0.567;2280
magda;sao paulo;3160;0.753;76
mage;rio de janeiro;244334;0.709;17091
maiquinique;bahia;8848;0.576;1502
mairi;bahia;19700;0.572;3924
mairinque;sao paulo;43658;0.743;1807
mairipora;sao paulo;79155;0.788;3098
mairipotaba;goias;2811;0.745;279
major gercino;santa catarina;2869;0.698;190
major isidoro;alagoas;19530;0.566;3366
major sales;rio grande do norte;3631;0.617;557
major vieira;santa catarina;7675;0.69;300
malacacheta;minas gerais;18181;0.618;1629
malhada;bahia;16739;0.562;2936
malhada de pedras;bahia;7677;0.578;1099
malhada dos bois;sergipe;3830;0.599;576
malhador;sergipe;12124;0.587;2122
mallet;parana;12784;0.708;604
malta;paraiba;5800;0.642;945
mamanguape;paraiba;41677;0.585;6853
mambai;goias;7096;0.626;1192
mambore;parana;14332;0.719;831
mamonas;minas gerais;6485;0.618;846
mampituba;rio grande do sul;2972;0.649;150
manacapuru;amazonas;86472;0.614;17804
manaira;paraiba;11366;0.543;1853
manaquiri;amazonas;20836;0.596;3039
manari;pernambuco;18097;0.487;3878
manaus;amazonas;1738641;0.737;123430
mancio lima;acre;14774;0.625;3208
mandaguacu;parana;19270;0.718;517
mandaguari;parana;33109;0.751;654
mandirituba;parana;21885;0.655;1373
manduri;sao paulo;9123;0.739;337
manfrinopolis;parana;3283;0.645;136
manga;minas gerais;21338;0.642;2736
mangaratiba;rio de janeiro;32533;0.753;1966
mangueirinha;parana;17526;0.688;991
manhuacu;minas gerais;78605;0.689;2483
manhumirim;minas gerais;20934;0.697;2067
manicore;amazonas;46773;0.582;5684
manoel emidio;piaui;5543;0.573;769
manoel ribas;parana;13113;0.716;1138
manoel urbano;acre;7505;0.551;1715
manoel viana;rio grande do sul;6954;0.655;255
manoel vitorino;bahia;14138;0.566;2723
mansidao;bahia;12244;0.599;2413
mantena;minas gerais;27580;0.675;1766
mantenopolis;espirito santo;11630;0.657;1294
maquine;rio grande do sul;7652;0.682;317
mar de espanha;minas gerais;11658;0.684;397
mar vermelho;alagoas;4131;0.577;671
mara rosa;goias;10360;0.691;756
maraa;amazonas;18135;0.498;2933
maraba;para;203049;0.668;14006
maraba paulista;sao paulo;5996;0.677;325
maracacume;maranhao;18414;0.582;3054
maracai;sao paulo;13710;0.771;697
maracaja;santa catarina;6185;0.768;234
maracaju;mato grosso do sul;32492;0.736;889
maracana;para;29417;0.57;5978
maracanau;ceara;201693;0.686;17535
maracas;bahia;35990;0.607;3440
maragogi;alagoas;26978;0.574;4891
maragogipe;bahia;43921;0.621;9353
maraial;pernambuco;12303;0.534;2293
maraja do sena;maranhao;6954;0.452;1462
maranguape;ceara;110523;0.659;14836
maranhaozinho;maranhao;12684;0.55;1690
marapanim;para;28011;0.609;4289
marapoama;sao paulo;2780;0.752;117
marata;rio grande do sul;2542;0.697;21
marataizes;espirito santo;32502;0.696;2702
marau;rio grande do sul;36643;0.774;4095
marau;bahia;17270;0.593;472
maravilha;santa catarina;23099;0.569;2636
maravilha;alagoas;10110;0.781;294
maravilhas;minas gerais;7224;0.672;688
marcacao;paraiba;7606;0.529;1781
marcelandia;mato grosso;14473;0.701;926
marcelino ramos;rio grande do sul;5329;0.724;70
marcelino vieira;rio grande do norte;8331;0.609;1381
marcionilio souza;bahia;11061;0.561;2224
marco;ceara;24622;0.612;3865
marcolandia;piaui;7477;0.562;1960
marcos parente;piaui;4297;0.59;930
marechal candido rondon;parana;47048;0.774;590
marechal deodoro;alagoas;47623;0.642;6949
marechal floriano;espirito santo;13302;0.71;566
marechal thaumaturgo;acre;14275;0.501;2814
marema;santa catarina;2275;0.743;40
mari;paraiba;21137;0.548;3822
maria da fe;minas gerais;14637;0.702;637
maria helena;parana;6115;0.703;170
marialva;parana;31397;0.735;1118
mariana;minas gerais;54689;0.742;5011
mariana pimentel;rio grande do sul;4173;0.701;159
mariano moro;rio grande do sul;2304;0.73;9
marianopolis do tocantins;tocantins;4743;0.631;491
mariapolis;sao paulo;3896;0.718;217
maribondo;alagoas;14144;0.597;1871
marica;rio de janeiro;123492;0.765;7006
marilac;minas gerais;4394;0.615;773
marilandia;espirito santo;10676;0.696;432
marilandia do sul;parana;9197;0.691;518
marilena;parana;6704;0.681;387
marilia;sao paulo;225938;0.798;5962
mariluz;parana;10861;0.639;682
maringa;parana;335511;0.808;5425
marinopolis;sao paulo;2158;0.731;70
mario campos;minas gerais;12029;0.699;931
mariopolis;parana;5944;0.698;233
maripa;parana;5673;0.758;47
maripa de minas;minas gerais;2981;0.68;114
marituba;para;101158;0.676;13440
marizopolis;paraiba;6457;0.608;1193
marlieria;minas gerais;3793;0.657;321
marmeleiro;parana;13463;0.722;810
marmelopolis;minas gerais;3156;0.65;311
marques de souza;rio grande do sul;4122;0.687;43
marquinho;parana;5258;0.614;531
martinho campos;minas gerais;12662;0.669;632
martinopole;ceara;11118;0.599;2034
martinopolis;sao paulo;25533;0.721;1058
martins;rio grande do norte;8386;0.622;1115
martins soares;minas gerais;6715;0.635;961
maruim;sergipe;15582;0.618;2281
marumbi;parana;4154;0.721;154
marzagao;goias;2157;0.699;188
mascote;bahia;16590;0.581;2552
massape;ceara;35388;0.616;4412
massape do piaui;piaui;6672;0.525;1101
massaranduba;paraiba;12946;0.567;2182
massaranduba;santa catarina;14500;0.774;159
mata;rio grande do sul;5386;0.656;327
mata de sao joao;bahia;39585;0.668;5524
mata grande;alagoas;25309;0.504;3704
mata roma;maranhao;14491;0.57;3855
mata verde;minas gerais;7802;0.581;1561
matao;sao paulo;78222;0.773;2093
mataraca;paraiba;7299;0.536;1563
mateiros;tocantins;1802;0.607;174
matelandia;parana;16217;0.725;219
materlandia;minas gerais;4772;0.597;622
mateus leme;minas gerais;26862;0.704;1802
matoes;maranhao;29386;0.612;584
matoes do norte;maranhao;11295;0.72;551
mathias lobato;minas gerais;3526;0.616;1036
matias barbosa;minas gerais;13872;0.562;2242
matias cardoso;minas gerais;11037;0.572;2236
matias olimpio;piaui;10863;0.619;5917
matina;bahia;13245;0.541;742
matinha;maranhao;21204;0.743;1741
matinhas;paraiba;4314;0.631;2123
matinhos;parana;23925;0.727;96
matipo;minas gerais;17017;0.565;422
mato castelhano;rio grande do sul;2747;0.746;105
mato grosso;paraiba;2695;0.717;57
mato leitao;rio grande do sul;3827;0.632;404
mato queimado;rio grande do sul;1880;0.662;1921
mato rico;parana;4205;0.55;6156
mato verde;minas gerais;12957;0.533;1973
matos costa;santa catarina;2826;0.657;78
matozinhos;minas gerais;35233;0.731;2051
matrincha;goias;4420;0.679;602
matriz de camaragibe;alagoas;25493;0.584;3664
matupa;mato grosso;15170;0.716;392
matureia;paraiba;6029;0.572;1179
matutina;minas gerais;3789;0.707;118
maua;sao paulo;417458;0.766;7227
maua da serra;parana;8446;0.652;566
maues;amazonas;49666;0.588;9798
maurilandia;goias;11604;0.677;1001
maurilandia do tocantins;tocantins;3322;0.58;395
mauriti;ceara;44211;0.605;7848
maxaranguape;rio grande do norte;9371;0.608;1197
maximiliano de almeida;rio grande do sul;5050;0.699;186
mazagao;amapa;14655;0.592;3917
medeiros;minas gerais;3398;0.711;158
medeiros neto;bahia;22752;0.625;2772
medianeira;parana;39857;0.763;544
medicilandia;para;23682;0.582;4265
medina;minas gerais;21115;0.624;1974
meleiro;santa catarina;7063;0.738;236
melgaco;para;17657;0.418;4027
mendes;rio de janeiro;17880;0.736;1021
mendes pimentel;minas gerais;6684;0.626;730
mendonca;sao paulo;4217;0.744;81
mercedes;parana;4902;0.74;103
merces;minas gerais;10902;0.664;892
meridiano;sao paulo;3929;0.731;135
meruoca;ceara;12780;0.618;1838
mesopolis;sao paulo;1767;0.724;69
mesquita;minas gerais;6641;0.656;483
mesquita;rio de janeiro;190056;0.737;11026
messias;alagoas;15899;0.568;1830
messias targino;rio grande do norte;3923;0.644;774
miguel alves;piaui;33410;0.539;6377
miguel calmon;bahia;27724;0.586;4011
miguel leao;piaui;1212;0.623;194
miguel pereira;rio de janeiro;25866;0.745;1643
miguelopolis;sao paulo;21095;0.741;1539
milagres;ceara;28077;0.628;5013
milagres;bahia;12092;0.622;2068
milagres do maranhao;maranhao;7854;0.527;1551
milha;ceara;14826;0.626;2548
milton brandao;piaui;7246;0.508;1106
mimoso de goias;goias;2941;0.665;285
mimoso do sul;espirito santo;27124;0.67;2284
minacu;goias;31417;0.707;1959
minador do negrao;alagoas;5292;0.563;781
minas do leao;rio grande do sul;8124;0.681;659
minas novas;minas gerais;31647;0.633;2717
minduri;minas gerais;3665;0.658;254
mineiros;goias;48329;0.718;2393
mineiros do tiete;sao paulo;12334;0.73;645
ministro andreazza;rondonia;10572;0.638;467
mira estrela;sao paulo;2663;0.743;90
mirabela;minas gerais;13252;0.665;1738
miracatu;sao paulo;23801;0.697;2027
miracema;rio de janeiro;26824;0.713;1954
miracema do tocantins;tocantins;19740;0.684;1667
mirador;maranhao;19991;0.545;3547
mirador;parana;2371;0.68;140
miradouro;minas gerais;10648;0.663;1004
miraguai;rio grande do sul;4986;0.725;305
mirai;minas gerais;13502;0.68;431
miraima;ceara;12737;0.592;2034
miranda;mato grosso do sul;24838;0.632;3104
miranda do norte;maranhao;18494;0.61;3623
mirandiba;pernambuco;13810;0.591;2410
mirandopolis;sao paulo;26761;0.751;817
mirangaba;bahia;18849;0.542;3341
miranorte;tocantins;12231;0.662;1269
mirante;bahia;8375;0.527;1493
mirante da serra;rondonia;12363;0.643;741
mirante do paranapanema;sao paulo;18131;0.724;976
miraselva;parana;1946;0.748;88
mirassol;sao paulo;54920;0.762;1093
mirassol d'oeste;mato grosso;25605;0.704;1854
mirassolandia;sao paulo;4396;0.738;197
miravania;minas gerais;4998;0.593;746
mirim doce;santa catarina;2583;0.708;46
mirinzal;maranhao;14311;0.622;2908
missal;parana;10760;0.711;421
missao velha;ceara;35135;0.622;5868
mocajuba;para;24695;0.575;6391
mococa;sao paulo;68718;0.762;2086
modelo;santa catarina;3862;0.76;59
moeda;minas gerais;4667;0.638;405
moema;minas gerais;7041;0.721;454
mogeiro;paraiba;12504;0.574;2809
mogi das cruzes;sao paulo;375268;0.783;25798
mogi guacu;sao paulo;139836;0.774;2873
moipora;goias;1865;0.696;207
moita bonita;sergipe;11269;0.587;1107
moji mirim;sao paulo;88373;0.784;1368
moju;para;68600;0.547;14416
mombaca;ceara;46728;0.582;5929
mombuca;sao paulo;3471;0.719;258
moncao;maranhao;28602;0.546;5749
moncoes;sao paulo;2129;0.772;43
mondai;santa catarina;9515;0.748;108
mongagua;sao paulo;44087;0.754;3751
monjolos;minas gerais;2311;0.65;157
monsenhor gil;piaui;10639;0.615;1819
monsenhor hipolito;piaui;7425;0.561;1273
monsenhor paulo;minas gerais;7582;0.721;409
monsenhor tabosa;ceara;17178;0.61;3379
montadas;paraiba;4750;0.59;1082
montalvania;minas gerais;16135;0.613;1902
montanha;espirito santo;18856;0.667;1964
montanhas;rio grande do norte;12834;0.557;2130
montauri;rio grande do sul;1606;0.764;5
monte alegre;para;63941;0.589;9917
monte alegre;rio grande do norte;21448;0.609;2794
monte alegre de goias;goias;7466;0.615;1178
monte alegre de minas;minas gerais;19051;0.674;1026
monte alegre de sergipe;sergipe;13817;0.553;3333
monte alegre do piaui;piaui;10663;0.578;1987
monte alegre do sul;sao paulo;7473;0.759;136
monte alegre dos campos;rio grande do sul;3256;0.65;168
monte alto;sao paulo;45895;0.768;761
monte aprazivel;sao paulo;21015;0.785;953
monte azul;minas gerais;22838;0.659;2525
monte azul paulista;sao paulo;19741;0.753;486
monte belo;minas gerais;12852;0.688;557
monte belo do sul;rio grande do sul;2826;0.752;9
monte carlo;santa catarina;9144;0.643;600
monte carmelo;minas gerais;45975;0.728;1514
monte castelo;santa catarina;8328;0.741;202
monte castelo;sao paulo;4131;0.675;526
monte das gameleiras;rio grande do norte;2449;0.598;503
monte do carmo;tocantins;6723;0.622;818
monte formoso;minas gerais;4943;0.541;572
monte horebe;paraiba;4498;0.587;753
monte mor;sao paulo;46641;0.733;4853
monte negro;rondonia;12708;0.607;678
monte santo;bahia;53429;0.506;9560
monte santo de minas;minas gerais;20536;0.71;931
monte santo do tocantins;tocantins;1914;0.62;355
monte siao;minas gerais;20135;0.724;421
monteiro;paraiba;31100;0.628;5397
monteiro lobato;sao paulo;4295;0.71;217
monteiropolis;alagoas;7292;0.539;1571
montenegro;rio grande do sul;59557;0.755;1749
montes altos;maranhao;8914;0.575;1754
montes claros;minas gerais;363227;0.77;15935
montes claros de goias;goias;8070;0.707;263
montezuma;minas gerais;7677;0.587;784
montividiu;goias;9965;0.733;478
montividiu do norte;goias;4702;0.613;816
morada nova;ceara;63126;0.61;11031
morada nova de minas;minas gerais;8750;0.696;264
moraujo;ceara;8538;0.581;1430
moreilandia;pernambuco;10584;0.6;2329
moreira sales;parana;13238;0.675;823
moreno;pernambuco;55659;0.652;9471
mormaco;rio grande do sul;2713;0.714;140
morpara;bahia;8871;0.558;1822
morretes;parana;17000;0.686;1520
morrinhos;ceara;22695;0.588;3026
morrinhos;goias;40838;0.734;1442
morrinhos do sul;rio grande do sul;3263;0.711;70
morro agudo;sao paulo;26305;0.712;1684
morro agudo de goias;goias;2379;0.695;275
morro cabeca no tempo;piaui;4378;0.542;917
morro da fumaca;santa catarina;16128;0.738;235
morro da garca;minas gerais;2966;0.648;159
morro do chapeu;bahia;35031;0.588;4875
morro do chapeu do piaui;piaui;6611;0.55;1171
morro do pilar;minas gerais;3524;0.597;376
morro grande;santa catarina;2775;0.701;117
morro redondo;rio grande do sul;6477;0.702;386
morro reuter;rio grande do sul;5985;0.743;41
morros;maranhao;17916;0.548;3756
mortugaba;bahia;14692;0.618;1321
morungaba;sao paulo;13305;0.715;324
mossamedes;goias;4901;0.706;267
mossoro;rio grande do norte;244287;0.72;17671
mostardas;rio grande do sul;12392;0.664;633
motuca;sao paulo;4691;0.741;162
mozarlandia;goias;14073;0.683;1236
muana;para;30568;0.547;6600
mucajai;roraima;13188;0.665;2967
mucambo;ceara;14537;0.607;1694
mucuge;bahia;14714;0.606;1695
mucum;rio grande do sul;4685;0.746;44
mucuri;bahia;35501;0.665;3440
mucurici;espirito santo;5910;0.666;621
muitos capoes;rio grande do sul;3104;0.702;103
muliterno;rio grande do sul;1872;0.689;102
mulungu;ceara;11914;0.607;1894
mulungu;paraiba;9629;0.565;1756
mulungu do morro;bahia;13879;0.566;2811
mundo novo;mato grosso do sul;16506;0.59;4337
mundo novo;goias;6787;0.686;1090
mundo novo;bahia;25245;0.634;541
munhoz;minas gerais;6419;0.647;284
munhoz de melo;parana;3714;0.726;134
muniz ferreira;bahia;7236;0.617;1328
muniz freire;espirito santo;18358;0.645;1106
muquem de sao francisco;bahia;10691;0.549;2306
muqui;espirito santo;14377;0.694;1141
muriae;minas gerais;99628;0.734;3367
muribeca;sergipe;7466;0.626;1356
murici;alagoas;26918;0.527;4270
murici dos portelas;piaui;8024;0.53;1334
muricilandia;tocantins;2958;0.596;387
muritiba;bahia;27755;0.66;5768
murutinga do sul;sao paulo;4290;0.726;345
mutuipe;bahia;22066;0.601;3050
mutum;minas gerais;27123;0.644;1904
mutunopolis;goias;4086;0.68;364
muzambinho;minas gerais;20426;0.74;861
nacip raydan;minas gerais;3015;0.585;441
nantes;sao paulo;2662;0.714;148
nanuque;minas gerais;41329;0.701;2297
nao-me-toque;rio grande do sul;16012;0.765;264
naque;minas gerais;6154;0.675;812
narandiba;sao paulo;4167;0.718;152
natal;rio grande do norte;806203;0.763;43133
natalandia;minas gerais;3376;0.671;390
natercia;minas gerais;4773;0.693;215
natividade;rio de janeiro;15406;0.673;768
natividade;tocantins;9396;0.73;1096
natividade da serra;sao paulo;7674;0.655;362
natuba;paraiba;10495;0.541;1242
navegantes;santa catarina;57324;0.736;1835
navirai;mato grosso do sul;45627;0.7;1524
nazare;tocantins;4596;0.643;575
nazare;bahia;27427;0.641;3351
nazare da mata;pernambuco;30185;0.662;2975
nazare do piaui;piaui;7070;0.576;1475
nazare paulista;sao paulo;15232;0.678;1052
nazareno;minas gerais;8096;0.69;682
nazarezinho;paraiba;7248;0.562;1375
nazaria;piaui;7895;0.602;1982
nazario;goias;7622;0.71;417
neopolis;sergipe;19538;0.589;3161
nepomuceno;minas gerais;25152;0.667;990
neropolis;goias;20260;0.721;1251
neves paulista;sao paulo;9114;0.754;402
nhamunda;amazonas;18474;0.586;3618
nhandeara;sao paulo;10771;0.751;249
nicolau vergueiro;rio grande do sul;1803;0.753;92
nilo pecanha;bahia;13274;0.547;2500
nilopolis;rio de janeiro;159408;0.753;7815
nina rodrigues;maranhao;10527;0.585;2318
ninheira;minas gerais;11031;0.556;1503
nioaque;mato grosso do sul;15693;0.639;1501
nipoa;sao paulo;4103;0.713;283
niquelandia;goias;39803;0.715;2439
nisia floresta;rio grande do norte;24109;0.622;3106
niteroi;rio de janeiro;479384;0.837;15057
nobres;mato grosso;15315;0.699;1361
nonoai;rio grande do sul;12601;0.702;694
nordestina;bahia;12670;0.56;2165
normandia;roraima;7527;0.594;1521
nortelandia;mato grosso;6272;0.702;436
nossa senhora aparecida;sergipe;8813;0.577;1461
nossa senhora da gloria;sergipe;30804;0.587;7441
nossa senhora das dores;sergipe;24747;0.6;4791
nossa senhora das gracas;parana;4055;0.709;142
nossa senhora de lourdes;sergipe;6509;0.598;1147
nossa senhora de nazare;piaui;4192;0.586;864
nossa senhora do livramento;mato grosso;12819;0.638;1067
nossa senhora do socorro;sergipe;155334;0.664;22709
nossa senhora dos remedios;piaui;8378;0.533;2183
nova alianca;sao paulo;5140;0.738;201
nova alianca do ivai;parana;1434;0.717;39
nova alvorada;rio grande do sul;3258;0.74;24
nova alvorada do sul;mato grosso do sul;12673;0.694;988
nova america;goias;2278;0.678;136
nova america da colina;parana;3331;0.698;309
nova andradina;mato grosso do sul;45916;0.721;2504
nova araca;rio grande do sul;4075;0.785;14
nova aurora;parana;11636;0.733;349
nova aurora;goias;2209;0.747;88
nova bandeirantes;mato grosso;14078;0.65;846
nova bassano;rio grande do sul;9249;0.747;81
nova belem;minas gerais;3532;0.592;532
nova boa vista;rio grande do sul;2113;0.768;8
nova brasilandia;mato grosso;4902;0.651;226
nova brasilandia d'oeste;rondonia;17698;0.643;1499
nova brescia;rio grande do sul;3291;0.778;13
nova campina;sao paulo;9267;0.651;961
nova canaa;bahia;20311;0.545;2694
nova canaa do norte;mato grosso;13237;0.686;373
nova canaa paulista;sao paulo;2172;0.715;86
nova candelaria;rio grande do sul;2789;0.759;10
nova cantu;parana;7481;0.658;706
nova castilho;sao paulo;1122;0.756;40
nova colinas;maranhao;5094;0.566;797
nova crixas;goias;13432;0.643;862
nova cruz;rio grande do norte;36561;0.629;6278
nova era;minas gerais;18579;0.709;998
nova erechim;santa catarina;4381;0.765;87
nova esperanca;parana;26591;0.722;1077
nova esperanca do piria;para;24062;0.502;4361
nova esperanca do sudoeste;parana;5337;0.714;192
nova esperanca do sul;rio grande do sul;5180;0.735;140
nova europa;sao paulo;10092;0.765;470
nova fatima;bahia;7964;0.597;1539
nova fatima;parana;8259;0.688;334
nova floresta;paraiba;10392;0.601;2029
nova friburgo;rio de janeiro;178653;0.745;5182
nova gloria;goias;8632;0.681;933
nova granada;sao paulo;18683;0.739;605
nova guarita;mato grosso;4907;0.688;285
nova guataporanga;sao paulo;2184;0.726;136
nova hartz;rio grande do sul;17772;0.689;538
nova ibia;bahia;7029;0.57;976
nova iguacu;rio de janeiro;865089;0.713;55819
nova iguacu de goias;goias;2678;0.655;172
nova independencia;sao paulo;2742;0.735;294
nova iorque;maranhao;5087;0.584;810
nova ipixuna;para;15097;0.581;1461
nova itaberaba;santa catarina;4222;0.736;153
nova itarana;bahia;7875;0.524;1710
nova lacerda;mato grosso;5252;0.636;531
nova laranjeiras;parana;11577;0.642;946
nova lima;minas gerais;76608;0.813;1568
nova londrina;parana;12898;0.758;422
nova luzitania;sao paulo;3795;0.743;183
nova mamore;rondonia;22337;0.587;1417
nova marilandia;mato grosso;2345;0.704;159
nova maringa;mato grosso;5989;0.663;300
nova modica;minas gerais;3952;0.63;434
nova monte verde;mato grosso;8602;0.691;432
nova mutum;mato grosso;26874;0.758;1174
nova nazare;mato grosso;2955;0.595;480
nova odessa;sao paulo;48754;0.791;866
nova olimpia;mato grosso;20944;0.71;293
nova olimpia;parana;5391;0.682;854
nova olinda;paraiba;6455;0.631;1196
nova olinda;ceara;13659;0.625;2975
nova olinda;tocantins;10974;0.573;1252
nova olinda do maranhao;maranhao;17835;0.581;3377
nova olinda do norte;amazonas;31012;0.558;4157
nova padua;rio grande do sul;2598;0.761;15
nova palma;rio grande do sul;6693;0.744;154
nova palmeira;paraiba;4087;0.595;609
nova petropolis;rio grande do sul;18631;0.78;78
nova ponte;minas gerais;12504;0.701;518
nova porteirinha;minas gerais;7597;0.641;1088
nova prata;rio grande do sul;24252;0.766;309
nova prata do iguacu;parana;10822;0.716;316
nova ramada;rio grande do sul;2464;0.742;44
nova redencao;bahia;9318;0.567;1526
nova resende;minas gerais;14686;0.671;661
nova roma;goias;3633;0.634;437
nova roma do sul;rio grande do sul;3754;0.741;5
nova rosalandia;tocantins;3956;0.661;476
nova russas;ceara;32016;0.614;3777
nova santa barbara;parana;3984;0.68;228
nova santa helena;mato grosso;3473;0.714;129
nova santa rita;rio grande do sul;22818;0.554;1060
nova santa rita;piaui;4199;0.718;814
nova santa rosa;parana;7965;0.731;185
nova serrana;minas gerais;67967;0.715;705
nova soure;bahia;26874;0.555;4599
nova tebas;parana;8283;0.651;385
nova timboteua;para;12677;0.609;2373
nova trento;santa catarina;12025;0.748;120
nova ubirata;mato grosso;8372;0.669;196
nova uniao;rondonia;7944;0.587;421
nova uniao;minas gerais;5653;0.662;428
nova venecia;espirito santo;46354;0.712;2784
nova veneza;goias;7240;0.768;196
nova veneza;santa catarina;13177;0.718;722
nova vicosa;bahia;36407;0.654;5296
nova xavantina;mato grosso;19398;0.704;504
novais;sao paulo;3974;0.719;167
novo acordo;tocantins;3950;0.639;490
novo airao;amazonas;15915;0.57;2256
novo alegre;tocantins;1802;0.699;196
novo aripuana;amazonas;18952;0.554;3110
novo barreiro;rio grande do sul;3989;0.706;174
novo brasil;goias;3377;0.699;258
novo cabrais;rio grande do sul;3960;0.688;177
novo cruzeiro;minas gerais;31319;0.571;3626
novo gama;goias;88835;0.684;5188
novo hamburgo;rio grande do sul;257746;0.747;6273
novo horizonte;bahia;11092;0.597;2089
novo horizonte;sao paulo;36271;0.753;871
novo horizonte;santa catarina;2954;0.706;80
novo horizonte do norte;mato grosso;3970;0.664;142
novo horizonte do oeste;rondonia;9720;0.634;701
novo horizonte do sul;mato grosso do sul;4932;0.649;120
novo itacolomi;parana;2808;0.71;160
novo jardim;tocantins;2525;0.596;330
novo lino;alagoas;12449;0.521;2097
novo machado;rio grande do sul;4246;0.663;259
novo mundo;mato grosso;7216;0.674;403
novo oriente;ceara;28703;0.605;5491
novo oriente de minas;minas gerais;10763;0.555;1548
novo oriente do piaui;piaui;6321;0.562;1010
novo planalto;goias;4266;0.658;523
novo progresso;para;21504;0.673;1731
novo repartimento;para;55762;0.537;6403
novo santo antonio;piaui;3547;0.528;671
novo santo antonio;mato grosso;2325;0.653;244
novo sao joaquim;mato grosso;6985;0.649;670
novo tiradentes;rio grande do sul;2387;0.676;153
novo triunfo;bahia;14763;0.554;1946
novo xingu;rio grande do sul;1926;0.767;32
novorizonte;minas gerais;5136;0.616;574
nuporanga;sao paulo;7004;0.746;228
obidos;para;48429;0.594;6538
ocara;ceara;24636;0.594;4078
ocaucu;sao paulo;4341;0.717;278
oeiras;piaui;36293;0.634;5437
oeiras do para;para;26796;0.507;6274
oiapoque;amapa;20962;0.658;2164
olaria;minas gerais;2479;0.636;145
oleo;sao paulo;2699;0.73;99
olho d'agua;paraiba;7642;0.572;1231
olho d'agua das cunhas;maranhao;17923;0.589;3930
olho d'agua das flores;alagoas;20555;0.565;2691
olho d'agua do casado;alagoas;8517;0.525;1748
olho d'agua do piaui;piaui;2755;0.576;477
olho d'agua grande;alagoas;4963;0.503;1321
olho-d'agua do borges;rio grande do norte;4578;0.585;634
olhos-d'agua;minas gerais;5338;0.626;1115
olimpia;sao paulo;50602;0.773;1984
olimpio noronha;minas gerais;2655;0.674;242
olinda;pernambuco;397268;0.735;31674
olinda nova do maranhao;maranhao;12684;0.575;3574
olindina;bahia;24557;0.559;4684
olivedos;paraiba;3622;0.603;664
oliveira;minas gerais;39214;0.699;1333
oliveira de fatima;tocantins;1129;0.675;142
oliveira dos brejinhos;bahia;23596;0.554;3968
oliveira fortes;minas gerais;1951;0.635;123
olivenca;alagoas;10865;0.493;2082
onca de pitangui;minas gerais;3129;0.663;118
onda verde;sao paulo;4005;0.738;117
oratorios;minas gerais;4538;0.637;265
oriente;sao paulo;6382;0.77;256
orindiuva;sao paulo;5406;0.767;83
oriximina;para;58683;0.623;8578
orizania;minas gerais;7078;0.562;923
orizona;goias;15201;0.715;517
orlandia;sao paulo;37534;0.78;751
orleans;santa catarina;21731;0.755;532
orobo;pernambuco;22239;0.61;3446
oroco;pernambuco;14279;0.61;3387
oros;ceara;21784;0.636;4786
ortigueira;parana;25002;0.609;2000
osasco;sao paulo;718646;0.776;23335
oscar bressane;sao paulo;2536;0.749;129
osorio;rio grande do sul;41642;0.751;1407
osvaldo cruz;sao paulo;31461;0.762;1235
otacilio costa;santa catarina;16587;0.74;366
ourem;para;15841;0.568;3485
ouricangas;bahia;8131;0.607;1688
ouricuri;pernambuco;66978;0.572;11776
ourilandia do norte;para;21327;0.624;3850
ourinhos;sao paulo;104542;0.778;2251
ourizona;parana;3380;0.72;91
ouro;santa catarina;7231;0.774;62
ouro branco;alagoas;11504;0.645;517
ouro branco;rio grande do norte;5166;0.547;2514
ouro branco;minas gerais;35475;0.764;977
ouro fino;minas gerais;32639;0.722;330
ouro preto;minas gerais;69495;0.741;3057
ouro preto do oeste;rondonia;36725;0.682;1040
ouro velho;paraiba;3078;0.614;603
ouro verde;santa catarina;2179;0.692;834
ouro verde;sao paulo;8162;0.695;122
ouro verde de goias;goias;4599;0.719;312
ouro verde de minas;minas gerais;7215;0.595;1178
ouro verde do oeste;parana;5648;0.709;178
ouroeste;sao paulo;7598;0.77;478
ourolandia;bahia;17080;0.56;3400
ouvidor;goias;5017;0.747;352
pacaembu;sao paulo;13778;0.725;373
pacaja;para;41953;0.515;7539
pacajus;ceara;59689;0.659;7139
pacaraima;roraima;9220;0.65;1544
pacatuba;sergipe;12870;0.675;6675
pacatuba;ceara;71839;0.555;2446
paco do lumiar;maranhao;103958;0.724;13116
pacoti;ceara;11519;0.635;1563
pacuja;ceara;6233;0.621;992
padre bernardo;goias;28012;0.651;1665
padre carvalho;minas gerais;6176;0.599;927
padre marcos;piaui;7582;0.541;1479
padre paraiso;minas gerais;18891;0.596;3185
paes landim;piaui;4562;0.575;870
pai pedro;minas gerais;6217;0.59;640
paial;santa catarina;1830;0.718;84
paicandu;parana;36876;0.716;1649
