cidade;estado;populacao;idh;num familias bolsa famila
araguana;maranhao;10325;0.533;2163
araguapaz;goias;7780;0.674;857
araguari;minas gerais;111095;0.773;3771
araguatins;tocantins;26771;0.631;3320
araioses;maranhao;39166;0.521;7952
aral moreira;mato grosso do sul;9679;0.633;1012
aramari;bahia;9911;0.588;1962
arambare;rio grande do sul;3929;0.691;244
arame;maranhao;27750;0.512;4793
aramina;sao paulo;5308;0.74;244
arandu;sao paulo;6212;0.685;276
arantina;minas gerais;2538;0.697;266
arapei;sao paulo;2582;0.68;150
arapiraca;alagoas;210521;0.649;20107
arapoema;tocantins;7029;0.68;480
araponga;minas gerais;8328;0.536;581
arapongas;parana;103025;0.748;2240
arapora;minas gerais;6522;0.708;302
arapoti;parana;26998;0.723;1222
arapua;minas gerais;2778;0.724;89
arapua;parana;4017;0.676;375
araputanga;mato grosso;16090;0.725;875
araquari;santa catarina;23080;0.703;675
arara;paraiba;12804;0.548;2100
ararangua;santa catarina;59537;0.76;833
araraquara;sao paulo;200666;0.815;3869
araras;sao paulo;114515;0.781;5478
ararenda;ceara;11186;0.59;1867
arari;maranhao;28787;0.626;5263
ararica;rio grande do sul;5181;0.679;243
araripe;ceara;22373;0.564;3317
araripina;pernambuco;79877;0.602;16777
araruama;rio de janeiro;109705;0.718;11617
araruna;paraiba;20009;0.567;2794
araruna;parana;12962;0.704;454
arataca;bahia;10953;0.559;2428
aratiba;rio grande do sul;6690;0.772;65
aratuba;ceara;12478;0.622;2150
aratuipe;bahia;8822;0.575;1817
araua;sergipe;12042;0.595;1977
araucaria;parana;117964;0.74;5615
araujos;minas gerais;7692;0.698;157
araxa;minas gerais;92927;0.772;3496
arceburgo;minas gerais;8253;0.683;206
arco-iris;sao paulo;2010;0.722;164
arcos;minas gerais;36455;0.749;961
arcoverde;pernambuco;68000;0.667;7967
areado;minas gerais;13864;0.727;365
areal;rio de janeiro;11982;0.684;925
arealva;sao paulo;7886;0.744;269
areia;paraiba;25648;0.594;3488
areia branca;sergipe;16733;0.682;2566
areia branca;rio grande do norte;25394;0.579;2246
areia de baraunas;paraiba;2159;0.562;326
areial;paraiba;6441;0.608;1149
areias;sao paulo;3690;0.697;294
areiopolis;sao paulo;11157;0.695;400
arenapolis;mato grosso;9903;0.704;473
arenopolis;goias;3481;0.687;182
ares;rio grande do norte;12732;0.606;1725
argirita;minas gerais;3051;0.643;227
aricanduva;minas gerais;5140;0.582;731
arinos;minas gerais;18153;0.656;2636
aripuana;mato grosso;20511;0.675;1185
ariquemes;rondonia;85541;0.702;4035
ariranha;sao paulo;8876;0.733;177
ariranha do ivai;parana;2533;0.67;136
armacao dos buzios;rio de janeiro;28653;0.728;1332
armazem;santa catarina;7650;0.77;182
arneiroz;ceara;7486;0.618;895
aroazes;piaui;6019;0.583;1178
aroeiras;paraiba;19725;0.548;3688
